trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.7, 'e': 0.9790000000000023}",35,7,-66.36989250595548,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 1}",1
43,False,"{'a': 0.7, 'e': 0.9785000000000024}",20,0,-50.55071720526177,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
44,False,"{'a': 0.7, 'e': 0.9780000000000024}",25,0,-168.95790368224218,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
45,False,"{'a': 0.7, 'e': 0.9775000000000025}",20,0,-57.886134274972754,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
46,False,"{'a': 0.7, 'e': 0.9770000000000025}",25,0,-86.46116989172829,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
47,False,"{'a': 0.7, 'e': 0.9765000000000026}",25,0,-92.797266453421,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
48,False,"{'a': 0.7, 'e': 0.9760000000000026}",20,0,-133.86942453118863,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",1
49,False,"{'a': 0.7, 'e': 0.9755000000000027}",30,21,-13.218580905977717,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
50,False,"{'a': 0.7, 'e': 0.9750000000000028}",20,0,-157.7451086833186,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
51,False,"{'a': 0.7, 'e': 0.9745000000000028}",25,0,-172.36789623777224,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
52,False,"{'a': 0.7, 'e': 0.9740000000000029}",20,0,-25.104134411273307,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
53,False,"{'a': 0.7, 'e': 0.9735000000000029}",35,0,-122.40467885489434,"{0: 22, 1: 5, 2: 6, 3: 1, 4: 1}",0
54,False,"{'a': 0.7, 'e': 0.973000000000003}",30,0,-211.87670557916448,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
55,False,"{'a': 0.7, 'e': 0.972500000000003}",20,13,-22.358675530033455,"{0: 4, 1: 2, 2: 0, 3: 1, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.9720000000000031}",25,11,18.848410002982117,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
